4.712,4.4858,4.2266,4.7054
4.6398,4.6671,5.863,4.5294
4.5136,4.336,5.5712,4.6466
4.6759,4.8164,5.3831,4.8962
5.2724,4.5203,5.5771,5.7077
4.1915,5.405,5.7148,4.9741
5.0175,4.3315,4.628,4.8688
5.8925,4.9787,5.1635,5.7164
5.4811,5.3122,4.7033,5.1994
5.0414,5.4462,4.1754,4.9065
4.9431,5.0437,4.6625,4.6091
4.9925,4.39,4.56,4.6373
4.5071,5.3522,4.822,4.2859
5.4845,5.5063,4.0512,5.3668
5.2681,5.1173,5.0778,4.8195
5.5464,5.6239,5.1476,5.3448
4.5087,4.2162,4.8784,4.7401
6.5421,4.3581,4.7752,5.2365
4.7552,4.9522,5.184,5.2619
5.892,5.3774,4.7037,4.5904
5.818,5.6064,5.4169,5.3525
5.0697,4.9605,4.3035,4.6784
5.1937,4.499,4.9507,4.5676
4.9384,5.6312,5.3978,3.7016
4.9507,4.4075,4.4394,4.8921
4.5609,5.1045,5.4229,4.1551
5.0445,4.1688,5.215,5.7173
5.0092,4.2749,5.1742,4.6302
4.6969,5.5584,4.5354,5.3349
5.3028,5.3678,4.794,5.3305
4.5065,4.5673,5.3184,5.0748
5.193,4.9051,4.5499,5.0287
4.7845,4.6246,4.5065,5.2295
4.8417,5.8255,5.3529,5.7154
4.4932,6.3808,5.1213,3.7178
4.6392,5.2434,5.4647,4.5496
4.9924,5.2004,4.792,5.3798
5.0363,4.3438,4.693,4.5489
4.9618,4.9456,4.6633,4.814
5.0836,5.1493,5.3457,4.663
4.9971,4.4958,5.2569,4.6327
5.2651,4.6469,4.8323,4.0465
4.9506,4.8577,3.4715,5.4321
5.1098,4.49,5.5933,5.4897
4.8372,5.145,4.8679,5.5972
5.1295,5.7903,4.8676,4.7244
5.0507,4.6341,5.798,5.2994
4.6776,4.9138,4.408,5.6811
5.1829,4.6607,5.3968,5.3939
5.4773,4.2037,4.9509,5.3442
5.3139,5.0976,5.6491,4.4892
4.5902,4.9321,5.2761,4.7598
5.4587,5.1643,4.4794,4.7679
4.6389,5.9072,6.1272,4.8773
5.1709,4.8009,4.3855,4.1453
5.9719,5.3238,5.3696,5.2086
5.2289,4.3498,5.2245,5.9876
5.4995,6.0016,5.4882,5.3544
5.0507,4.9153,5.4968,4.4905
4.7791,4.6831,5.2934,5.5573
5.6308,3.6713,4.8767,4.6709
5.1088,4.1476,5.0744,5.5887
5.8044,4.9262,4.9219,4.2511
5.3565,4.7781,5.1278,5.6804
4.0208,4.8497,5.1237,3.9065
5.0517,5.5498,5.1742,5.2872
4.2615,5.2177,4.0866,4.6763
6.6583,4.354,5.0823,5.3459
4.4703,5.4683,5.5103,5.6301
5.2598,3.7818,5.8239,5.0895
4.4035,5.5114,4.9011,4.4806
5.45,5.2868,4.4058,5.7551
5.2154,5.6933,5.0979,4.7596
4.0716,5.1145,4.7972,4.3973
4.8935,4.9794,4.8056,4.677
5.1753,5.6037,4.5568,5.6892
4.148,5.0073,5.0211,5.8353
5.4715,4.1693,4.8988,5.0866
3.9481,4.3337,5.477,5.2138
4.9816,5.0061,5.1961,5.2164
3.802,5.6065,5.0062,5.0627
4.6507,4.5916,5.2509,4.4826
4.5623,5.0376,4.9466,5.6239
5.2721,3.913,4.8433,4.5975
4.2088,4.4782,6.209,5.7115
4.8413,5.2755,5.0391,4.3612
4.6749,5.2404,4.7024,5.316
5.5531,4.4831,5.7529,4.5796
5.0191,5.0718,4.7398,4.9862
4.9259,5.9056,5.2042,4.9545
4.097,5.0079,4.8776,5.5136
5.086,6.1691,4.4292,4.4493
5.0575,4.8981,4.2117,5.0252
5.2186,4.445,4.6788,5.4314
5.3025,4.8149,4.5859,5.3518
5.5572,5.012,5.8946,6.0388
4.8233,5.2091,4.851,5.6529
5.4565,4.8229,5.1752,5.3965
5.6163,5.2755,5.0467,4.3858
5.1327,5.4332,5.1658,5.222
4.8026,5.4854,4.5829,5.5172
4.4021,4.6282,5.316,5.5926
5.7511,4.7333,5.2622,4.4766
4.0553,4.2679,4.8923,5.1886
5.0829,5.2183,4.7258,5.2359
5.0121,5.7537,6.2938,5.1678
5.0654,5.1073,5.3955,4.6945
5.6766,5.1662,5.2796,5.5064
4.4731,4.3175,5.5277,4.885
4.4914,4.52,4.7467,4.583
5.4459,5.9965,5.3174,5.0902
4.2552,4.6555,5.3458,4.6004
4.8957,4.566,4.8809,4.7092
5.1172,4.18,4.905,3.8129
4.5949,4.9091,5.2854,5.2777
4.3699,5.3681,5.2407,5.4259
4.4287,4.8238,5.6747,5.116
4.0835,5.7454,4.8857,4.0551
4.9963,5.1056,5.0757,4.5477
4.9361,4.6729,5.5429,5.0472
5.1326,5.6554,4.8334,4.6403
5.5107,5.1811,5.9451,4.8607
4.7954,4.5844,5.2646,4.9622
5.9345,4.919,4.5666,5.4772
4.5823,4.6836,4.4304,4.7768
4.2869,5.1372,4.2478,4.8067
4.8268,5.0549,5.6525,5.7955
5.089,5.2853,4.3994,4.9469
5.7591,5.437,5.4676,4.2682
4.2182,5.8608,5.3933,5.1065
5.7564,5.556,5.0738,4.3659
5.2054,4.3571,5.0647,5.469
4.9797,5.6233,5.3137,5.6143
3.4735,5.4233,4.9685,4.6408
5.3162,6.2072,5.3331,5.516
4.7442,4.7612,4.8466,4.9502
