0.807,0.61
0.056,0.503
0.215,-1.086
0.189,0.89
0.688,-1.209
0.103,-0.067
0.428,-0.755
-0.855,-0.679
-0.161,-0.621
0.401,0.727
-0.797,0.104
0.453,1.272
-0.188,0.854
-0.55,1.044
-0.342,0.4
0.211,1.307
-1.382,-0.729
-0.019,-0.962
-0.636,-0.953
1.273,0.259
-0.431,0.152
0.151,-0.972
0.059,-0.654
0.021,-0.413
-0.634,-0.504
0.752,0.219
-0.472,0.022
0.637,-1.047
0.372,-0.958
-0.269,0.994
0.623,1.182
0.058,0.517
0.199,-0.216
0.015,-0.005
0.05,-0.996
-0.416,-0.317
-0.789,-1.054
0.144,-0.997
-1.349,0.902
0.531,-0.249
0.499,-0.583
0.267,1.169
-0.001,0.373
1.208,0.892
0.704,-0.145
-0.187,-0.57
0.051,1.027
-0.59,0.29
0.133,-0.314
0.727,1.007
0.616,-0.429
-0.295,0.255
0.053,-0.703
1.283,0.947
0.04,0.383
-1.11,0.279
-1.434,-0.539
0.717,0.36
0.659,0.73
0.976,0.566
0.397,-0.888
0.677,-0.867
0.014,0.08
0.099,0.768
0.123,-1.415
0.51,1.438
0.253,1.22
-0.505,0.637
0.804,-0.023
-0.139,1.05
-0.783,-0.695
-0.571,0.078
-0.473,-0.871
-0.215,0.442
0.353,0.733
0.451,0.778
-0.883,-0.166
-0.19,-0.885
1.383,0.201
-0.135,0.894
0.417,0.386
0.342,-0.843
-0.682,-1.223
-0.096,0.703
0.158,0.924
-0.514,-0.524
-1.015,-0.094
0.278,1.118
-0.218,-0.435
-0.892,-0.198
-0.845,-0.969
0.169,0.421
-0.394,0.129
0.953,0.314
0.159,-0.944
0.128,-0.82
0.966,0.874
1.209,1.075
-0.02,0.704
-1.069,-0.557
0.992,0.124
-0.86,-0.64
0.564,-0.207
-0.102,-1.167
0.786,-0.234
0.622,0.918
0.545,0.113
0.252,-0.031
0.24,0.68
1.364,0.786
-0.637,0.179
-1.237,-0.842
-0.799,-0.512
-0.377,-1.122
-0.501,1.241
-1.261,-0.361
0.225,0.796
-0.705,-1.069
0.203,-0.468
-1.081,-0.472
-0.466,0.388
-0.164,0.4
0.332,1.122
-0.167,-0.523
0.766,0.577
1.269,0.168
0.03,-0.105
-0.328,-0.617
1.171,0.442
0.334,-0.211
0.319,1.317
-0.369,-0.114
-0.302,-0.116
0.837,1.199
0.31,0.697
-0.638,-1.282
-1.167,-0.468
0.241,-0.123
0.151,0.354
0.335,-0.064
0.692,0.459
0.466,-0.384
0.763,0.136
0.261,0.019
-0.342,0.132
0.379,-0.506
-0.898,-0.111
0.042,0.636
-0.948,-0.432
-0.062,-1.003
0.135,0.18
0.133,0.448
-0.826,0.346
0.443,-1.09
0.033,0.726
0.606,0.265
0.584,0.179
0.934,0.844
-0.124,-0.272
1.557,0.083
0.401,-0.564
0.446,-0.306
0.803,-0.078
0.056,0.108
0.1,-0.828
-0.857,-0.681
0.088,1.024
-1.357,-0.275
0.748,0.762
-0.835,-0.33
-0.195,-1.279
0.02,-0.617
0.084,1.079
-0.164,1.229
-1.112,-0.307
-0.384,-0.915
-0.736,-0.906
-0.441,0.24
0.83,0.825
0.855,0.496
-0.668,0.264
-0.493,0.438
0.931,1.075
0.004,0.307
0.372,-0.015
-0.695,0.274
0.927,1.063
0.647,0.956
-0.249,-0.003
0.171,1.086
-0.929,0.118
1.488,0.062
-0.655,-0.229
-0.601,0.282
0.422,1.486
-0.879,-0.665
-0.69,-0.728
-0.034,0.73
-0.462,-0.187
-0.358,-1.035
0.164,0.453
1.152,0.357
0.236,0.42
0.824,1.019
-0.89,-0.586
0.524,0.023
0.198,-0.398
-0.239,0.04
-0.186,-1.09
0.354,-0.817
0.931,-0.462
-0.403,-0.145
-0.666,-0.297
0.778,-0.512
-0.562,-1.039
0.456,-0.327
-0.053,0.696
-0.571,-0.427
-0.127,1.305
-0.736,0.08
-0.571,-0.778
-0.557,0.012
-0.453,-1.211
1.104,0.289
